code;name
3118;FABRICA DE ROPA
3119;HOTEL 1 ESTRELLAS
3119;HOTEL 2 ESTRELLAS
3119;HOTEL 3 ESTRELLAS
3122;HOTEL 4 ESTRELLAS
3122;HOTEL 5 ESTRELLAS
3124;ALFARERIA
3125;ENSAMBLADORA
3126;FABRICA DE PASTA
3127;FABRICA DE HELADOS
3128;MATADERO
3129;IND. DEL CROMADO
3130;IND. DE PORCELANA
3131;IND. DEL VIDRIO
3999;IND. NO DEF.
